STATE:171:cr300c/r900f:QdKd|AhTh/Jc5s7h:300|-300:DeepStack|shaposhnikov.roman.1 # 1480714876.76761
STATE:172:r200f:Kc4d|Ah5d:-100|100:shaposhnikov.roman.1|DeepStack # 1480714911.29335
STATE:173:r250c/cr500f:3d5d|QsKd/4sJs9c:-250|250:DeepStack|shaposhnikov.roman.1 # 1480714924.39263
STATE:174:r300f:7c6d|5s3s:-100|100:shaposhnikov.roman.1|DeepStack # 1480714954.61752
STATE:175:f:9h5d|Th4c:50|-50:DeepStack|shaposhnikov.roman.1 # 1480714968.34394
STATE:176:cr250r750f:QhKs|8d9c:-250|250:shaposhnikov.roman.1|DeepStack # 1480714979.06571
STATE:177:cc/cc/r200c/r400c:4c6h|Jh8s/7h4d2s/7d/Js:-400|400:DeepStack|shaposhnikov.roman.1 # 1480715006.08789
STATE:178:r200f:Qc4d|8dAd:-100|100:shaposhnikov.roman.1|DeepStack # 1480715047.43471
STATE:179:cr300f:5c9c|7c5d:100|-100:DeepStack|shaposhnikov.roman.1 # 1480715063.48262
STATE:180:r300c/cc/r600c/cr1200f:8sQs|4hKc/6sKs2h/2d/3h:-600|600:shaposhnikov.roman.1|DeepStack # 1480715082.05896
STATE:181:r250f:6s9h|3sAh:-100|100:DeepStack|shaposhnikov.roman.1 # 1480715142.50866
STATE:182:r300c/cc/r600f:8s9c|9s7s/Kd8dQs/4h:300|-300:shaposhnikov.roman.1|DeepStack # 1480715157.83884
STATE:183:r200c/cr400r1200f:7s5d|5cKc/7d5s9d:400|-400:DeepStack|shaposhnikov.roman.1 # 1480715194.47924
STATE:184:r300c/cr600r1800f:9dJs|AdTd/9s2hJh:600|-600:shaposhnikov.roman.1|DeepStack # 1480715230.21757
