In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
158:BR,Player:0r130c/cc/cc/cr299f:6s9h,3h6c|/8d9dJd/3d/6h:-230,230(-230.000000)
159:Player,BR:0cc/cc/cc/r130f:4cJs,3d4d|/2h6d9s/9d/Jc:100,-100(100.000000)
160:BR,Player:0r200c/cr390c/cc/cc:7dTh,5hJd|/4s7hKc/Ah/8s:690,-690(107.587677)
161:Player,BR:0cc/cc/cc/cc:2cQh,3s4c|/5c8hKc/Kh/3h:-100,100(-52.270356)
162:BR,Player:0r200c/cc/cr150c/cr900f:3d9s,TdAh|/5d6dJd/4d/4c:-450,450(-450.000000)
163:Player,BR:0cc/cc/r200c/r390c:6c9d,9sKd|/TcJsAs/8c/5d:-690,690(76.174892)
164:BR,Player:0r200c/cr390f:7h8d,JsJh|/ThJcQc:-300,300(-300.000000)
165:Player,BR:0cc/cc/r200c/cc:5d6c,8cJd|/3cTsKs/Jh/5h:-300,300(-300.000000)
166:BR,Player:0f:7sKh,2d6h|:50,-50(50.000000)
167:Player,BR:0cc/cc/cc/cc:6s7d,7cJh|/8cThQh/8h/As:-100,100(32.692499)
168:BR,Player:0r130c/cr299f:2c8c,5s8d|/3d5c9d:-230,230(-230.000000)
169:Player,BR:0cc/cc/cc/r200f:6cKh,JsQh|/5sKdAc/3d/5h:100,-100(100.000000)
170:BR,Player:0cc/cr200c/cc/cr900c:KhAh,9cTs|/3h4c6d/Js/2h:1200,-1200(1200.000000)
171:Player,BR:0cc/cc/cc/r300c:8hQs,6c7s|/3s3dAs/8s/6d:400,-400(-185.294109)
172:BR,Player:0r130c/cr690c/cc/cr1196c:3s7h,6d8h|/4s5d6c/8d/Qc:2116,-2116(1533.876214)
173:Player,BR:0cc/cc/cc/cc:4hAc,TcQh|/7d8hTh/Ks/5d:-100,100(-81.232188)
174:BR,Player:0r130c/cr460c/cr897c/cc:8hAs,3dQh|/7dJhKh/2h/4d:1587,-1587(-407.429881)
175:Player,BR:0cc/cc/cc/cc:2c4d,5sAs|/2s5dQh/9s/8c:-100,100(-76.348248)
176:BR,Player:0r130c/cc/cc/cr299c:4h5s,7cTh|/5cKsKd/Jh/5d:529,-529(503.684194)
177:Player,BR:0cr300f:6cKc,2h6d|:100,-100(100.000000)
178:BR,Player:0cc/cc/cc/cr200c:5dKh,8sTc|/2c7dKc/9s/Th:300,-300(196.763898)
179:Player,BR:0cr130c/r299c/r264c/r1030f:2dAd,6cAc|/TdJsQs/8c/Qh:793,-793(793.000000)
180:BR,Player:0r130c/cc/cc/cc:3cAs,8cKc|/4c5dQd/Ad/Tc:230,-230(230.000000)
181:Player,BR:0cr200c/r390c/r2070c/r1380f:QsAd,5cKd|/4dKhAh/8c/Th:2760,-2760(2760.000000)
182:BR,Player:0r130c/cr299c/cc/cc:2s2c,6dJh|/2d4sTd/As/5c:529,-529(529.000000)
183:Player,BR:0cr300c/cc/cc/cc:4h7h,5sKc|/TcKsAh/3c/7d:-400,400(-360.038353)
184:BR,Player:0cc/cr600c/cc/cc:4s8d,3dQd|/4dTsJh/Js/4h:700,-700(700.000000)
185:Player,BR:0cc/cc/cc/cc:JdQh,4dJs|/2h4cKd/7c/Tc:-100,100(-73.844836)
186:BR,Player:0r130c/cc/cr115c/cc:4s8s,5c9h|/6d8h9s/Th/6c:-345,345(53.347045)
187:Player,BR:0cc/cc/cc/cc:6h7d,6sTh|/2d7s9s/Ts/2c:-100,100(-87.764068)
188:BR,Player:0f:3sAc,2c4s|:50,-50(50.000000)
189:Player,BR:0cr300f:5dAd,4h6d|:100,-100(100.000000)
190:BR,Player:0f:KhKd,3h7c|:50,-50(50.000000)
191:Player,BR:0cc/cc/cc/r130f:3c9s,KdAs|/6sTcQh/9h/5c:100,-100(100.000000)
192:BR,Player:0f:8c9c,3h7c|:50,-50(50.000000)
193:Player,BR:0cr130c/r299c/cc/cc:JdQd,4h7s|/2h7dAs/8h/7h:-529,529(-484.845890)
194:BR,Player:0r130c/cc/cr299c/cc:2c4h,6hQd|/4s9sKd/8s/As:529,-529(173.932830)
195:Player,BR:0cr300f:2dJd,2s8c|:100,-100(100.000000)
196:BR,Player:0r200c/cc/cr390f:8hKh,JsAs|/4s5d5c/Jd:-300,300(-300.000000)
197:Player,BR:0cc/cc/r130c/cc:6h8s,4sKh|/QsQdAh/Td/Th:0,-0(63.021299)
198:BR,Player:0r130c/cc/cc/cr460f:8sTh,4d7h|/7d9hQh/Qc/Qs:-230,230(-230.000000)
199:Player,BR:0cr200c/cc/r900f:6c9c,2s9d|/7sTdJc/Kc:300,-300(300.000000)
200:BR,Player:0r200c/cr390c/cc/cr897f:3d5s,5hTh|/5d9hTc/9s/4s:-690,690(-690.000000)
201:Player,BR:0cc/cc/cc/cc:2cKh,4hJd|/3dJsAh/Qc/7s:-100,100(-72.598079)
202:BR,Player:0r130c/cr299c/cc/cc:6dTs,3h6h|/2d6c7h/5s/Tc:529,-529(529.000000)
203:Player,BR:0cc/cc/r130c/r460f:6s9d,3h3c|/6h6cJc/Qc/Kh:230,-230(230.000000)
204:BR,Player:0r130c/cc/cc/cr299c:3dQs,TsQd|/9sThKh/7d/9d:-529,529(-93.857975)
205:Player,BR:0cc/cc/cc/cc:ThKd,3h6d|/2h3cQs/9c/9d:-100,100(-81.926798)
206:BR,Player:0r130c/cc/cr115c/cr2070c:2s9s,2h6h|/8cJcAd/7h/8d:2415,-2415(967.291284)
207:Player,BR:0cc/cc/cc/cc:4h5d,3hAh|/3c6d7c/Ts/Th:100,-100(-65.864010)
208:BR,Player:0r130c/cc/cc/cc:2d9d,4dQc|/5s8s9h/2s/4h:230,-230(230.000000)
209:Player,BR:0cr300c/cc/cc/r200c:7s9s,8cTh|/6s7cKh/8d/8h:-600,600(-573.809340)
210:BR,Player:0cc/cr130f:3c6s,3hTc|/5hKhKc:-100,100(-100.000000)
211:Player,BR:0cc/cc/cc/cc:5sJc,9sAd|/3sJdAc/Th/Ks:-100,100(-75.726120)
212:BR,Player:0r130c/cc/cr115c/cr1035f:2h3d,5c8d|/7s7dQc/3s/7h:-345,345(-345.000000)
213:Player,BR:0cr200c/cc/r150c/r585f:7cQd,8hAc|/2h4h9d/Jc/6h:450,-450(450.000000)
214:BR,Player:0r130c/cc/cr299f:2c4d,7cAc|/5d5cTc/9c:-230,230(-230.000000)
215:Player,BR:0cr200c/cc/cc/r600f:5hAh,6dQh|/9dTdKh/2s/Ad:300,-300(300.000000)
216:BR,Player:0r130c/cc/cc/cc:4sTh,5h7c|/7sJsKs/4h/2c:-230,230(94.752889)
217:Player,BR:0cr200c/r600c/r1170c/r6210c:TsJc,JdKh|/3c7h9d/5s/2s:-8280,8280(-8280.000000)
218:BR,Player:0f:3sTd,2s7c|:50,-50(50.000000)
219:Player,BR:0cc/cc/cc/r130f:2cQh,4hJc|/2d7s9h/3d/9s:100,-100(100.000000)
220:BR,Player:0r130c/cc/cc/cc:4s5c,3hKs|/2c6sAc/Qs/3c:230,-230(230.000000)
221:Player,BR:0cc/cc/r200c/r600c:4s6d,6hTh|/3d7hTd/Jd/8c:-900,900(-350.716664)
222:BR,Player:0r130c/cc/cc/cc:ThQd,8sTd|/TcJcKd/Qc/2s:230,-230(182.111521)
223:Player,BR:0cc/cc/cc/cc:3hAd,ThQd|/8cJsQc/4h/3s:-100,100(-95.583481)
224:BR,Player:0f:5c7d,2h4d|:50,-50(50.000000)
225:Player,BR:0cc/cc/cc/cc:9hJc,3s7s|/5dQhQd/5s/6c:100,-100(87.869869)
226:BR,Player:0r200c/cr390c/cc/cc:TdJh,5h6c|/2c5cQh/8s/Th:690,-690(690.000000)
227:Player,BR:0cr600c/cc/r140c/r420c:QhAs,9cJd|/5dTsJh/Kd/2d:1260,-1260(-520.104430)
228:BR,Player:0r130c/cc/cr115c/cr1035f:4d7c,5sAs|/2d3hAc/Ah/2c:-345,345(-345.000000)
229:Player,BR:0cc/cc/cc/cc:5s9c,8cAd|/5h9dKd/2c/8h:100,-100(-70.461778)
230:BR,Player:0f:3s7h,2h5s|:50,-50(50.000000)
231:Player,BR:0cr600f:JsJc,7c8h|:100,-100(100.000000)
