In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
171:BR,Player:0r130c/cr299c/cc/cc:8hQs,6c7s|/3s3dAs/8s/6d:529,-529(455.753626)
172:Player,BR:0cc/cc/cr200c/cr19700f:3s7h,6d8h|/4s5d6c/8d/Qc:-300,300(-300.000000)
173:BR,Player:0r130c/cc/cr115r19655f:4hAc,TcQh|/7d8hTh/Ks:345,-345(345.000000)
174:Player,BR:0cc/cc/cc/cr19900f:8hAs,3dQh|/7dJhKh/2h/4d:-100,100(-100.000000)
175:BR,Player:0r130c/cr299c/cc/cc:2c4d,5sAs|/2s5dQh/9s/8c:-529,529(-184.428856)
176:Player,BR:0cc/cc/r130f:4h5s,7cTh|/5cKsKd/Jh:100,-100(100.000000)
177:BR,Player:0f:6cKc,2h6d|:50,-50(50.000000)
178:Player,BR:0cc/cc/r200r19700f:5dKh,8sTc|/2c7dKc/9s:-300,300(-300.000000)
179:BR,Player:0r200c/cc/cc/cc:2dAd,6cAc|/TdJsQs/8c/Qh:0,-0(-247.788957)
180:Player,BR:0cc/cc/cc/cc:3cAs,8cKc|/4c5dQd/Ad/Tc:100,-100(36.421043)
181:BR,Player:0r130c/cc/r460c/r1380c:QsAd,5cKd|/4dKhAh/8c/Th:2070,-2070(971.950664)
182:Player,BR:0cr300c/r800c/r3600r9600r5600f:2s2c,6dJh|/2d4sTd/As:14400,-14400(14400.000000)
183:BR,Player:0r130c/cc/r19770f:4h7h,5sKc|/TcKsAh/3c:230,-230(230.000000)
184:Player,BR:0cc/cc/cr200c/cc:4s8d,3dQd|/4dTsJh/Js/4h:300,-300(262.570145)
185:BR,Player:0r130c/cr299c/cc/r19471f:JdQh,4dJs|/2h4cKd/7c/Tc:529,-529(529.000000)
186:Player,BR:0cr130c/cc/r115r690f:4s8s,5c9h|/6d8h9s/Th:-345,345(-345.000000)
187:BR,Player:0r130c/cr460c/r1380c/cc:6h7d,6sTh|/2d7s9s/Ts/2c:-2070,2070(-1533.488347)
188:Player,BR:0cc/cc/cc/cc:3sAc,2c4s|/4h6hJh/Qd/3h:-100,100(48.359446)
189:BR,Player:0r130c/cc/r460f:5dAd,4h6d|/4cKcAc/Ks:230,-230(230.000000)
190:Player,BR:0cr300c/cc/cc/cr800c:KhKd,3h7c|/5c9dAh/3d/Qs:1200,-1200(-466.374129)
191:BR,Player:0r130c/cr299c/cc/r19471f:3c9s,KdAs|/6sTcQh/9h/5c:529,-529(529.000000)
192:Player,BR:0cr300c/cc/cr800f:8c9c,3h7c|/5sJcKs/Js:-400,400(-400.000000)
193:BR,Player:0r130c/cc/cc/r460r1380r4140f:JdQd,4h7s|/2h7dAs/8h/7h:2070,-2070(2070.000000)
194:Player,BR:0cc/cc/cr200f:2c4h,6hQd|/4s9sKd/8s:-100,100(-100.000000)
195:BR,Player:0f:2dJd,2s8c|:50,-50(50.000000)
196:Player,BR:0cr200c/cc/r600c/r1800r17300f:8hKh,JsAs|/4s5d5c/Jd/9h:-2700,2700(-2700.000000)
197:BR,Player:0r130c/cc/r19770f:6h8s,4sKh|/QsQdAh/Td:230,-230(230.000000)
198:Player,BR:0cc/cc/cr200c/r150c:8sTh,4d7h|/7d9hQh/Qc/Qs:-450,450(-450.000000)
199:BR,Player:0f:6c9c,2s9d|:50,-50(50.000000)
200:Player,BR:0cc/cc/cr200f:3d5s,5hTh|/5d9hTc/9s:-100,100(-100.000000)
201:BR,Player:0r130c/cc/cc/r19770f:2cKh,4hJd|/3dJsAh/Qc/7s:230,-230(230.000000)
202:Player,BR:0cc/cc/cr200c/cr19700f:6dTs,3h6h|/2d6c7h/5s/Tc:-300,300(-300.000000)
203:BR,Player:0r130c/cr299c/r1058f:6s9d,3h3c|/6h6cJc/Qc:529,-529(529.000000)
204:Player,BR:0cc/cc/cr200f:3dQs,TsQd|/9sThKh/7d:-100,100(-100.000000)
205:BR,Player:0cc/cr130c/cc/cc:ThKd,3h6d|/2h3cQs/9c/9d:-230,230(-111.176642)
206:Player,BR:0cr300c/r520c/cr19080f:2s9s,2h6h|/8cJcAd/7h:-920,920(-920.000000)
207:BR,Player:0r130c/cr460c/r19310c/cc:4h5d,3hAh|/3c6d7c/Ts/Th:20000,-20000(7689.652012)
