In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
214:Player,BR:0cc/cc/r130c/r299c:2c4d,7cAc|/5d5cTc/9c/8s:-529,529(-481.067330)
215:BR,Player:0r130c/cr299c/cc/cc:5hAh,6dQh|/9dTdKh/2s/Ad:529,-529(529.000000)
216:Player,BR:0cc/cc/cc/r130c:4sTh,5h7c|/7sJsKs/4h/2c:-230,230(77.399087)
217:BR,Player:0cc/cc/cc/cc:TsJc,JdKh|/3c7h9d/5s/2s:-100,100(-100.000000)
218:Player,BR:0cc/cc/cc/r200c:3sTd,2s7c|/7s7h8s/5h/Ts:-300,300(-294.862837)
219:BR,Player:0r200c/cr600c/cc/cc:2cQh,4hJc|/2d7s9h/3d/9s:900,-900(487.397696)
220:Player,BR:0cc/cc/r130c/cc:4s5c,3hKs|/2c6sAc/Qs/3c:230,-230(-127.897942)
221:BR,Player:0cc/cr130c/cc/cc:4s6d,6hTh|/3d7hTd/Jd/8c:-230,230(-214.988320)
222:Player,BR:0cc/cc/cc/r130f:ThQd,8sTd|/TcJcKd/Qc/2s:100,-100(100.000000)
223:BR,Player:0r200c/cr390c/cr1380f:3hAd,ThQd|/8cJsQc/4h:-690,690(-690.000000)
224:Player,BR:0cc/cc/cc/r130c:5c7d,2h4d|/9sKdAh/2d/5s:230,-230(99.204008)
225:BR,Player:0r130c/cc/cr115c/cr690c:9hJc,3s7s|/5dQhQd/5s/6c:1035,-1035(-188.374155)
226:Player,BR:0cc/cc/cc/cc:TdJh,5h6c|/2c5cQh/8s/Th:100,-100(-55.870517)
227:BR,Player:0r200c/cr390c/cc/cc:QhAs,9cJd|/5dTsJh/Kd/2d:690,-690(690.000000)
228:Player,BR:0cc/cc/cc/cc:4d7c,5sAs|/2d3hAc/Ah/2c:-100,100(-98.269044)
229:BR,Player:0cc/cc/cc/cr130c:5s9c,8cAd|/5h9dKd/2c/8h:230,-230(216.587666)
230:Player,BR:0cc/cc/r130c/r460c:3s7h,2h5s|/2c5d6s/5h/Qd:-690,690(-690.000000)
231:BR,Player:0cc/cc/cc/cc:JsJc,7c8h|/3c8dAc/9c/Qh:100,-100(100.000000)
232:Player,BR:0cc/cc/cc/cc:5sQc,6s6h|/2c9dAc/Jc/2s:-100,100(-40.944663)
